"country","pageid","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace","wiki_url","extracted_text"
"DEU","2956828","Q363453","Adolf_Müller_(Politiker,_1916)","Adolf Müller","male","white","catholicism",1916-05-13,2005-02-22,"51.19259,7.25709",NA,"https://de.wikipedia.org/wiki/Adolf_Müller_(Politiker,_1916)","Müller wurde als Sohn eines Schleifermeisters geboren. Nach dem Besuch der Volksschule absolvierte er zunächst eine Schleiferlehre in einer Hammerschmiede und bestand später die Facharbeiterprüfung in der Remscheider Kleineisenindustrie. Er leistete 1937 Reichsarbeitsdienst, wurde anschließend zur Wehrmacht eingezogen und nahm seit 1939 als Soldat am Zweiten Weltkrieg teil. Bei Kriegsende geriet er in Gefangenschaft, aus der er 1945 entlassen wurde.

Müller arbeitete seit 1947 als Fachsekretär für Arbeitsrecht und Sozialpolitik beim DGB in Remscheid und wurde 1953 geschäftsführender Vorsitzender des dortigen DGB-Ortsausschusses. Er war seit 1955 Mitglied des Landesbezirksvorstandes und von 1958 bis 1978 stellvertretender Landesbezirksvorsitzender des DGB Nordrhein-Westfalen. Daneben war er Mitglied der Kolpingsfamilie und der Katholischen Arbeitnehmer-Bewegung (KAB).
"
"DEU","3200168","Q363451","Adolf_Müller-Emmert","Adolf Müller-Emmert","male",NA,"catholicism",1922-03-01,2011-07-02,"49.48111,8.43528","49.52306,7.92528","https://de.wikipedia.org/wiki/Adolf_Müller-Emmert",""
"DEU","3314903","Q363517","Adolf_Ostertag","Adolf Ostertag","male",NA,NA,1939-07-22,NA,"49.3269,11.0631",NA,"https://de.wikipedia.org/wiki/Adolf_Ostertag","Ostertag wurde 1939 in Mittelfranken geboren. Nach dem Besuch der Volksschule begann er 1953 eine Lehre als Werkzeugmacher. Anschließend arbeitete er auch in diesem Beruf, bis er 1964 an der Hochschule für Wirtschaft und Politik in Hamburg studierte. Er verweigerte den Kriegsdienst und arbeitete ab 1967 als Gewerkschaftssekretär bei der IG Metall.
"
"DEU","2287185","Q363697","Adolf_Roth","Adolf Roth","male","white","catholicism",1937-09-15,NA,"50.58333,8.66667",NA,"https://de.wikipedia.org/wiki/Adolf_Roth",""
"DEU","4692313","Q364092","Adolf_Scheu","Adolf Scheu","male",NA,"protestantism evangelical",1907-04-26,1978-12-20,"48.58833,9.45139","51.26667,7.18333","https://de.wikipedia.org/wiki/Adolf_Scheu","Nach dem Besuch der Oberrealschule in Stuttgart-Cannstatt machte Adolf Scheu eine kaufmännische Lehre und war dann von 1925 bis 1941 als Industriekaufmann und Verkaufsleiter bei verschiedenen Firmen tätig. 
Im Jahr 1941 wurde er von der Gestapo verhaftet und mehrere Tage lang verhört, dann aber wieder freigelassen, da ihm keine staatsfeindlichen Handlungen nachgewiesen werden konnten. Am 1. Oktober 1941 wurde Scheu Prokurist bei der Flugzeugfabrik Gottlob Espenlaub in Wuppertal. 1945 schied er aus der Firma aus und machte sich als Industrie- und Unternehmensberater selbstständig.

Adolf Scheu heiratete 1929 Elisabeth Kretschmer und hatte mit ihr neun Kinder. Nach ihrem Tod im Jahr 1963 heiratete er Almuth Reinke und hatte mit ihr weitere drei Kinder.
"
"DEU","237767","Q364156","Adolf_Schmidt_(Politiker,_1925)","Adolf Schmidt","male","white",NA,1925-04-18,2013-11-26,"51.03389,9.40556","51.48333,7.13333","https://de.wikipedia.org/wiki/Adolf_Schmidt_(Politiker,_1925)","Schmidt wurde im April 1925 als Sohn eines Schlossers geboren. Er besuchte die Volksschule und machte von 1939 bis 1942 eine Lehre als Grubenschlosser in Frielendorf. Im Zweiten Weltkrieg war er Mechaniker in einem U-Boot, geriet in Kriegsgefangenschaft, aus der er 1945 wieder entlassen wurde. Anschließend arbeitete er wieder in der Braunkohlenfabrik in Frielendorf, wo er 1947 zum Betriebsrat gewählt wurde. Die IG Bergbau schickte ihn 1950 auf die Akademie der Arbeit in Frankfurt, an der er ein Studium absolvierte.

Schmidt wurde im Jahr 1949 Mitglied der SPD. Nach seinem Studium war er 1951 und 1952 als hauptamtlicher Sekretär für Jugendfragen bei der Gewerkschaft in München tätig. Danach war er bis 1954 Leiter der Geschäftsstelle im Breisgau, bis 1963 anschließend Leiter der Geschäftsstelle in Gießen. Das nächste Jahr verbrachte er als Tarif- und Betriebsrätesekretär, weiterhin in Gießen, im Jahr 1965 übernahm Schmidt die Leitung des Bezirkes Hessen-Rheinland-Pfalz. Ebenfalls 1965 wurde er Mitglied des geschäftsführenden Vorstandes der Gewerkschaft, die im Jahr 1960 in IG Bergbau und Energie umbenannt worden war. Im November 1969 wurde er Vorsitzender der IG Bergbau und Energie. Im Juli 1971 wurde er zum Präsidenten des internationalen Bergarbeiterverbandes gewählt und blieb dies bis 1984. Er engagierte sich für die Energiegewinnung aus Kohle und Atomenergie gleichermaßen, um der Kohle eine wirtschaftliche Chance zu geben. Im November 1984 wurde er ein letztes Mal als Vorsitzender der IG Bergbau und Energie wiedergewählt, lediglich ein Jahr später trat er von diesem Amt zurück.
"
"DEU","6126849","Q364311","Adolf_Stockleben_(Politiker,_1933)","Adolf Stockleben","male",NA,"protestantism evangelical",1933-10-28,2014-11-01,"52.2922,10.2122",NA,"https://de.wikipedia.org/wiki/Adolf_Stockleben_(Politiker,_1933)",""
"DEU","149587","Q364351","Adolf_Süsterhenn","Adolf Süsterhenn","male","white","catholicism",1905-05-31,1974-11-24,"50.94222,6.95778","50.35972,7.59778","https://de.wikipedia.org/wiki/Adolf_Süsterhenn",""
"DEU","44167","Q88729","Adolf_von_Thadden","Adolf von Thadden","male","white","protestantism evangelical",1921-07-07,1996-07-16,"53.9,15.21667","52.2,8.8","https://de.wikipedia.org/wiki/Adolf_von_Thadden",""
"DEU","117950","Q272663","Aenne_Brauksiepe","Aenne Brauksiepe","female","white","catholicism",1912-02-23,1997-01-01,"51.43222,6.76111","51.82583,8.14361","https://de.wikipedia.org/wiki/Aenne_Brauksiepe","Nach dem Abitur 1931 war sie von 1932 bis 1934 als Bildnerin in der Behindertenfürsorge tätig. Da sie aufgrund des politischen Engagements ihres Elternhauses in der Zentrumspartei im nationalsozialistischen Deutschland nicht studieren konnte, ging sie 1934 nach Schottland, da sie dort ein Studium der Philologie aufnehmen wollte. Ein Studium war ihr jedoch weder dort noch in den Niederlanden, wo sie mit ihrem Ehemann ab 1937 lebte, möglich. 1943 kehrte sie nach Deutschland zurück. Brauksiepe war 1. Vorsitzende des deutschen Zweigs der „St. Joan’s International Social and Political Alliance“ und 2. Vorsitzende des Katholischen Deutschen Frauenbundes.
"
"DEU","4754033","Q394447","Agnes_Alpers","Agnes Alpers","female",NA,NA,1961-06-29,NA,"52.75611,9.39306",NA,"https://de.wikipedia.org/wiki/Agnes_Alpers","Alpers studierte ab 1980 Pädagogik an der FU Berlin und schloss 1986 mit dem Diplom ab. Anschließend war sie in der Kinder- und Jugendarbeit tätig.[1]
Sie ist Gründerin eines Schulvereins und leitete die erste Kindersambagruppe in Bremen.[1]
Vor ihrem Wechsel in die Vollzeitpolitik war sie zuletzt als Leiterin der KiTa Rütlistraße in Berlin-Neukölln tätig.[1]
Sie ist verheiratet und hat zwei Kinder.[2]
Nach einer Rede im Bundestag am 28. Juni 2013 brach Alpers zusammen und musste vor Ort wiederbelebt werden.[3] Ein Schlaganfall aufgrund eines geplatzten Aneurysmas wurde diagnostiziert und Alpers in ein künstliches Koma versetzt. Ende Juli wurde sie aus dem künstlichen Koma zurückgeführt.[4] Im September 2013 wurde sie in eine Bremer Klinik verlegt.[5] Seit Mitte Februar 2015 – nach Beendigung ihrer langen medizinischen Rehabilitation – lebt sie in einem Pflegeheim.[6]"
"DEU","803079","Q394550","Agnes_Hürland-Büning","Agnes Hürland","female",NA,"catholicism",1926-05-17,2009-03-09,"51.66,6.96417","51.66,6.96417","https://de.wikipedia.org/wiki/Agnes_Hürland-Büning",""
"DEU","2152251","Q394563","Agnes_Katharina_Maxsein","Agnes Katharina Maxsein","female",NA,"catholicism",1904-12-04,1991-10-31,"50.38889,7.73139","52.51667,13.38333","https://de.wikipedia.org/wiki/Agnes_Katharina_Maxsein","Nach dem Abitur auf dem Oberlyzeum in Frankfurt am Main studierte Maxsein, die römisch-katholischen Glaubens war, Philosophie, Französisch und Englisch in Frankfurt, Gießen und Berlin. 1930 wurde sie zum Doktor der Philosophie promoviert. 1936 bestand sie das pädagogische Staatsexamen, wurde aber erst 1945 nach Ende der Naziherrschaft als Studienrätin in den Staatsdienst aufgenommen. Bereits 1947 wurde sie zur Studiendirektorin befördert und war seit 1951 Oberschulrätin am Hauptschulamt in Berlin. 1985 wurde sie zur Berliner Stadtältesten ernannt.
"
"DEU","4777169","Q110883","Agnes_Krumwiede","Agnes Krumwiede","female","white","catholicism",1977-01-17,NA,"48.73333,11.18333",NA,"https://de.wikipedia.org/wiki/Agnes_Krumwiede",""
"DEU","4783408","Q109309","Agnieszka_Brugger","Agnieszka Brugger","female","white","catholicism",1985-02-08,NA,"51.21006,16.1619",NA,"https://de.wikipedia.org/wiki/Agnieszka_Brugger",""
"DEU","173220","Q2637550","Albert_Baldauf","Albert Baldauf","male",NA,"catholicism",1917-12-08,1991-10-25,"49.3128,6.735","49.41,6.91","https://de.wikipedia.org/wiki/Albert_Baldauf","Baldauf besuchte die römisch-katholische Volksschule in Beaumarais. 1932 begann er eine Lehre als Elektriker bei den Röchlingschen Eisen- und Stahlwerken in Völklingen, die er 1936 mit der Gesellenprüfung abschloss. Nach dem Arbeitsdienst meldete er sich 1938 als Freiwilliger zur Kriegsmarine. Im Zweiten Weltkrieg wurde er zur U-Boot-Waffe versetzt. Nach einem Fronteinsatz auf U 49, das 1940 bei Narvik versenkt wurde, geriet er in britische Kriegsgefangenschaft, die bis 1947 andauerte.[1]
Nach der Gefangenschaft arbeitete er als Lehrlingsausbilder beim Unternehmen VSE AG im Saarland und besuchte nebenher die Meisterschule, die er 1949 mit dem Meisterbrief beendete.

Baldauf starb am 25. Oktober 1991 an Leukämie.
"
"DEU","2841465","Q1372487","Albert_Burger_(Politiker)","Albert Burger","male","white","catholicism",1925-02-23,1981-10-10,"48.09389,7.96083","47.99472,7.84972","https://de.wikipedia.org/wiki/Albert_Burger_(Politiker)","Nach dem Volksschulabschluss absolvierte Burger eine kaufmännische Ausbildung und besuchte gleichzeitig die Höhere Handelsschule. Er wurde 1943 zur Wehrmacht eingezogen, nahm als Soldat am Zweiten Weltkrieg teil und erlitt während des Krieges eine schwere Verwundung. Bei Kriegsende geriet er in Kriegsgefangenschaft, aus der er 1946 entlassen wurde.

Burger arbeitete seit 1946 in der Verwaltung der Klinischen Universitätsanstalten Freiburg. Er wechselte 1958 in den kommunalen Dienst, bestand beide Verwaltungsprüfungen und war dann als Beamter des gehobenen Dienstes in der Gemeindeverwaltung Kollnau tätig. Zuletzt wurde er hier zum Verwaltungsoberinspektor befördert.
"
"DEU","173925","Q85528","Albert_Deß","Albert Deß","male","white","catholicism",1947-04-17,NA,"49.25,11.4",NA,"https://de.wikipedia.org/wiki/Albert_Deß",""
"DEU","952455","Q1584525","Albert_Leicht","Albert Leicht","male","white","catholicism",1922-03-01,1994-10-02,"49.02056,8.24833","49.21667,8.36667","https://de.wikipedia.org/wiki/Albert_Leicht","Nach dem Abitur auf dem Humanistischen Gymnasium 1941 wurde Leicht, der römisch-katholischen Glaubens war, zum Kriegsdienst herangezogen. Sein letzter Dienstgrad zum Ende des Zweiten Weltkrieges war Leutnant. Nach Kriegsende nahm er ein Studium der Rechtswissenschaften in Mainz auf. Er legte 1949 das erste und 1953 das zweite Staatsexamen ab. Nach kurzer Tätigkeit in einer Rechtsanwaltskanzlei trat er in den Staatsdienst ein und wurde zunächst Richter am Sozialgericht in Speyer. 1955 wechselte er als Regierungsrat in das Kultusministerium Rheinland-Pfalz und 1957 in gleicher Funktion zum Landkreis Bergzabern.

Von 1977 bis 1983 war Leicht Mitglied des Rechnungshofes der Europäischen Gemeinschaften.

Leicht war Mitglied der katholischen Studentenverbindung Kurpfalz Mainz im KV.
"
"DEU","3208527","Q2638411","Albert_Ludwig_Juncker","Albert Ludwig Juncker","male",NA,NA,1904-12-02,1987-03-08,"51.48333,7.21667","50.87556,8.01667","https://de.wikipedia.org/wiki/Albert_Ludwig_Juncker",NA
